StationID,Description,Trout water,Ecoregion
07076000,Little Red River near Heber Springs,Yes,Boston Mountains
07055814,"Big Creek at Carver, AR",,Boston Mountains
07075250,"S Fk Lit Red Riv us of Gulf Mt WMA nr Scotland, AR",,Boston Mountains
07075270,"South Fork of Little Red River near Scotland, AR",,Boston Mountains
07064060,"Murray Creek near Reyno, AR",,Delta
07364130,"Deep Bayou near Star City, AR",,Delta
07337000,"Red River at Index, AR",,Gulf Coastal
07364122,"Bayou Bartholomew nr Meroney, AR",,Gulf Coastal
07364133,"Bayou Bartholomew at Garrett Bridge, AR",,Gulf Coastal
07263296,"Maumelle River near Wye, AR",,Ouachita Mountains
07340300,"Cossatot River near Vandervoort, AR",,Ouachita Mountains
07355880,"Board Camp Creek nr Nunley, AR",,Ouachita Mountains
07049691,White River at Beaver Dam near Eureka Springs,Yes,Ozark Highlands
07054501,White River at Bull Shoals Dam near Flippin,Yes,Ozark Highlands
07054502,White River below Bull Shoals Dam at Bull Shoals,Yes,Ozark Highlands
07054527,White River below Bull Shoals Dam near Fairview,Yes,Ozark Highlands
07060500,"White River at Calico Rock, AR",Yes,Ozark Highlands
07048600,"White River near Fayetteville, AR",,Ozark Highlands
07049050,"War Eagle Creek at War Eagle, AR",,Ozark Highlands
07048495,"Town Branch at Armstrong St. at Fayetteville, AR",,Ozark Highlands
07048550,"West Fork White River east of Fayetteville, AR",,Ozark Highlands
07060710,"North Sylamore Creek near Fifty Six, AR",,Ozark Highlands
07069190,"Mammoth Spring at Mammoth Spring, AR",,Ozark Highlands
07194880,"Osage Creek near Cave Springs, AR",,Ozark Highlands
071948095,"Mud Creek near Johnson, AR",,Ozark Highlands
